;;;Csatlakozók / töltési módok;;;;;;;;Töltőpont címe;;;;
Töltőpont neve;Gyártó;Típus;Teljesítmény (Type 2);Darab (Type 2);Teljesítmény (CCS);Darab (CCS);Teljesítmény (CHAdeMO);Darab (CHAdeMO);Kapacitás;Szolgáltatás díja (bruttó);Irányító szám;Település;Cím;Mobiliti azonosító;GPS koordináták
Szeged - József Attila sugárút 122.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6723;Szeged;József Attila sugárút 122.     ;13160;46.27045,20.157602
Szeged - Vízi Sport Egyesület Felső Tisza part   ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6723;Szeged;Vízi Sport Egyesület Felső Tisza part   ;13161;46.257649,20.175916
Szeged - Moszkvai krt. 25.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6725;Szeged;Moszkvai krt. 25.      ;13162;46.248463,20.137808
Szeged - Népkert sor 13.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6726;Szeged;Népkert sor 13.      ;13163;46.249785,20.164715
Szeged - Torontál tér 6.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6726;Szeged;Torontál tér 6.      ;13164;46.248957,20.15749
Hódmezővásárhely - Ady Endre utca 1. (Uszoda parkoló)   ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6800;Hódmezővásárhely;Ady Endre utca 1. (Uszoda parkoló)   ;13165;46.409532,20.317357
Hódmezővásárhely - Sportcsarnok (Tóalj utca )     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6800;Hódmezővásárhely;Sportcsarnok (Tóalj utca )     ;13166;46.414707,20.32912
Hódmezővásárhely - Stadion/Piac parkoló       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6800;Hódmezővásárhely;Stadion/Piac parkoló       ;13167;46.421977,20.331188
Hódmezővásárhely - Virág utca (Földhivatal parkoló)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;6800;Hódmezővásárhely;Virág utca (Földhivatal parkoló)     ;13168;46.416353,20.322345
Szekszárd - Csokonay utca 11-13.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7100;Szekszárd;Csokonay utca 11-13.      ;13169;46.347433,18.706229
Szekszárd - dr. Szentgáli Gyula utca 2.    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7100;Szekszárd;dr. Szentgáli Gyula utca 2.    ;13170;46.3462,18.70234
Nagyatád - Zrínyi utca Nagyatád      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7500;Nagyatád;Zrínyi utca Nagyatád      ;13171;46.229512,17.364444
Siófok - Petőfi sétány 11-13.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8600;Siófok;Petőfi sétány 11-13.      ;13172;46.913085,18.060055
Siófok - Deák Ferenc tér 16.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8600;Siófok;Deák Ferenc tér 16.     ;13173;46.901375,18.017625
Zamárdi - Kiss Ernő utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8621;Zamárdi;Kiss Ernő utca      ;13174;46.884963,17.943032
Szántód - Római út 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8622;Szántód;Római út 2.      ;13175;46.859379,17.905124
Balatonföldvár - Budapest utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8623;Balatonföldvár;Budapest utca       ;13176;46.848938,17.879371
Balatonszemes - Cinka Panna utca 2.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8636;Balatonszemes;Cinka Panna utca 2.     ;13177;46.811393,17.770707
Balatonlelle - Rákóczi út 193.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8638;Balatonlelle;Rákóczi út 193.      ;13178;46.791196,17.692015
Fonyód - Hunyadi János utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8640;Fonyód;Hunyadi János utca      ;13179;46.748816,17.557471
Balatonfenyves - Kölcsey utca 1-3.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8646;Balatonfenyves;Kölcsey utca 1-3.      ;13180;46.712642,17.477206
Csurgó - Petőfi tér Csurgó      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8840;Csurgó;Petőfi tér Csurgó      ;13181;46.252635,17.099961
Pécs - Felsővámház utca 61.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7630;Pécs;Felsővámház utca 61.      ;13182;46.078927,18.2461
Pécs - Árnyas liget utca 2-8.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7632;Pécs;Árnyas liget utca 2-8.     ;13183;46.051373,18.229262
Pécs - Csontváry utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7632;Pécs;Csontváry utca       ;13184;46.039962,18.222305
Pécs - Ángyán János utca 2.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7635;Pécs;Ángyán János utca 2.     ;13185;46.09326,18.226063
Hosszúhetény - Fő út 142.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7694;Hosszúhetény;Fő út 142.      ;13186;46.162448,18.352986
Szigetvár - Olay Lajos utca 2.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;7900;Szigetvár;Olay Lajos utca 2.     ;13187;46.048168,17.80036
Balatonkenese - Táncsics Mihály utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8174;Balatonkenese;Táncsics Mihály utca      ;13188;47.035015,18.108381
Veszprém - Vörösmarty Mihály tér 2.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8200;Veszprém;Vörösmarty Mihály tér 2.     ;13189;47.090773,17.912913
Veszprém - Budapest út       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8200;Veszprém;Budapest út       ;13190;47.092463,17.914308
Veszprém - Kittenberger Kálmán utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8200;Veszprém;Kittenberger Kálmán utca      ;13191;47.09681,17.895575
Veszprém - Muskátli utca 2. - 8. (Almádi út) ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8200;Veszprém;Muskátli utca 2. - 8. (Almádi út) ;13192;47.08989,17.916165
Balatonalmádi - Taksony utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8220;Balatonalmádi;Taksony utca       ;13193;47.037768,18.020373
Balatonalmádi - Véghelyi Dezső utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8220;Balatonalmádi;Véghelyi Dezső utca      ;13194;47.02844,18.021498
Alsóörs - Vasút utca 3.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8226;Alsóörs;Vasút utca 3.      ;13195;46.985345,17.978871
Balatonfüred - Zákonyi Ferenc utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8230;Balatonfüred;Zákonyi Ferenc utca      ;13196;46.951538,17.888048
Tihany - Kossuth Lajos utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8237;Tihany;Kossuth Lajos utca      ;13197;46.909863,17.890401
Révfülöp - Iskola utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8253;Révfülöp;Iskola utca       ;13198;46.82796,17.626469
Révfülöp - Halász utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8253;Révfülöp;Halász utca       ;13199;46.829679,17.638976
Badacsonytomaj - 71-es út (kikötő parkoló)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8258;Badacsonytomaj;71-es út (kikötő parkoló)     ;13200;46.786716,17.505813
Szigliget - Soponyai út       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8264;Szigliget;Soponyai út       ;13201;46.785938,17.443832
Zirc - Rákóczi tér       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8420;Zirc;Rákóczi tér       ;13202;47.262733,17.870933
Pápa - Fő utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8500;Pápa;Fő utca 2.      ;13203;47.326046,17.469783
Keszthely - Sopron utca 2.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8360;Keszthely;Sopron utca 2.      ;13204;46.772724,17.241544
Keszthely - Lóczy Lajos utca (Yachtklub)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8360;Keszthely;Lóczy Lajos utca (Yachtklub)     ;13205;46.764977,17.266538
Hévíz - Zrínyi utca 1.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8380;Hévíz;Zrínyi utca 1.      ;13206;46.791188,17.185253
Hévíz - Ady Endre utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8380;Hévíz;Ady Endre utca      ;13207;46.783433,17.190542
Alsópáhok - Hévíz utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8394;Alsópáhok;Hévíz utca       ;13208;46.775898,17.173833
Zalakaros - Dísz tér       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8749;Zalakaros;Dísz tér       ;13209;46.550847,17.123692
Kehidakustány - Kossuth Lajos utca 62.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8794;Kehidakustány;Kossuth Lajos utca 62.     ;13210;46.83273,17.107448
Nagykanizsa - Színház utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8800;Nagykanizsa;Színház utca       ;13211;46.454167,16.996087
Zalaegerszeg - Mártirok út       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8900;Zalaegerszeg;Mártirok út       ;13212;46.84061,16.842685
Zalaegerszeg - ZalaZone (Fogadó épület 1)     ;Evopro;;22 kW;2;;;;;2;Ingyenes;8900;Zalaegerszeg;ZalaZone (Fogadó épület 1)     ;13213;46.889767,16.837537
Zalaegerszeg - ZalaZone (Fogadó épület 2)     ;Evopro;;22 kW;2;;;;;2;Ingyenes;8900;Zalaegerszeg;ZalaZone (Fogadó épület 2)     ;13214;46.88962,16.837275
Zalaegerszeg - ZalaZone (Szervíz épület 1)     ;Evopro;;22 kW;2;;;;;2;Ingyenes;8900;Zalaegerszeg;ZalaZone (Szervíz épület 1)     ;13215;46.88931,16.824446
Zalaegerszeg - ZalaZone (Szervíz épület 2)     ;Evopro;;22 kW;2;;;;;2;Ingyenes;8900;Zalaegerszeg;ZalaZone (Szervíz épület 2)     ;13216;46.891903,16.831735
Lenti - Táncsics utca 4.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8960;Lenti;Táncsics utca 4.     ;13217;46.620542,16.5327
Pannonhalma - Váralja utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9090;Pannonhalma;Váralja utca       ;13218;47.549637,17.755122
Csorna - Soproni út 52.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9300;Csorna;Soproni út 52.      ;13219;47.612112,17.253623
Sopron - Ady Endre út (Egyetem parkoló)    ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9400;Sopron;Ady Endre út (Egyetem parkoló)    ;13220;47.682658,16.577133
Sopron - Jegenye sor (Locomotive Szálloda)     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9400;Sopron;Jegenye sor (Locomotive Szálloda)     ;13221;47.674538,16.582823
Fertőrákos - Fő utca 165.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9421;Fertőrákos;Fő utca 165.      ;13222;47.715373,16.654406
Fertőd - Hydn sétány       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9431;Fertőd;Hydn sétány       ;13223;47.619492,16.864103
Sárvár - Várkerület utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9600;Sárvár;Várkerület utca       ;13224;47.253045,16.937822
Bük - Termál krt. 28.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;9740;Bük;Termál krt. 28.      ;13225;47.379083,16.786488
Mór - Szent István tér 10.     ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8060;Mór;Szent István tér 10.     ;13226;47.374371,18.210608
Székesfehérvár - Gyümölcs utca 15.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8000;Székesfehérvár;Gyümölcs utca 15.      ;13227;47.18694,18.418997
Székesfehérvár - Seregélyesi út 3.      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8000;Székesfehérvár;Seregélyesi út 3.      ;13228;47.193298,18.436683
Székesfehérvár - Jankovich Ferenc utca      ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8000;Székesfehérvár;Jankovich Ferenc utca      ;13229;47.193872,18.398633
Székesfehérvár - Sütő utca       ;Evopro;;22 kW;2;;;;;2;100Ft/kWh;8000;Székesfehérvár;Sütő utca       ;13230;47.186342,18.411267
Budapest - Pala utca        ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1011;Budapest;Pala utca        ;13501;47.500729,19.038749
Budapest - Csalogány utca 23.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1015;Budapest;Csalogány utca 23.       ;13502;47.507675,19.033432
Budapest - Számadó utca 1.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1016;Budapest;Számadó utca 1.       ;13503;47.48613,19.039867
Budapest - Marczibányi tér 5.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1022;Budapest;Marczibányi tér 5.       ;13504;47.51405,19.021175
Budapest - Fény utca 6. (Auguszt cukrászda)     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1024;Budapest;Fény utca 6. (Auguszt cukrászda)     ;13505;47.508993,19.024313
Budapest - Keleti Károly utca 37.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1024;Budapest;Keleti Károly utca 37.      ;13506;47.512795,19.025161
Budapest - Pusztaszeri út 59.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1025;Budapest;Pusztaszeri út 59.       ;13507;47.52504,19.023562
Budapest - Vérhalom tér 8.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1025;Budapest;Vérhalom tér 8.       ;13508;47.520687,19.02367
Budapest - Kelemen László (Pasaréti tér) utca     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1026;Budapest;Kelemen László (Pasaréti tér) utca     ;13509;47.523364,18.992884
Budapest - Ganz utca        ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1027;Budapest;Ganz utca        ;13510;47.511024,19.03737
Budapest - Kossuth Lajos utca 2.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1028;Budapest;Kossuth Lajos utca 2.      ;13511;47.551918,18.963912
Budapest - Bécsi út 126.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1034;Budapest;Bécsi út 126.       ;13512;47.537972,19.032227
Budapest - Mátyás király út 19.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1039;Budapest;Mátyás király út 19.      ;13513;47.585687,19.048763
Budapest - Alkotmány utca 29.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1054;Budapest;Alkotmány utca 29.       ;13514;47.507973,19.05389
Budapest - Podmaniczky utca 111.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1062;Budapest;Podmaniczky utca 111.       ;13515;47.516555,19.072223
Budapest - Teréz körút 48.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1066;Budapest;Teréz körút 48.       ;13516;47.508357,19.058845
Budapest - Erzsébet körút 40-42.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1073;Budapest;Erzsébet körút 40-42.       ;13517;47.501698,19.068113
Budapest - Rózsák tere        ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1074;Budapest;Rózsák tere        ;13518;47.501407,19.076525
Budapest - Nefelejcs utca 34.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1078;Budapest;Nefelejcs utca 34.       ;13519;47.504078,19.080485
Budapest - II. János Pál pápa tér 18.    ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1081;Budapest;II. János Pál pápa tér 18.    ;13520;47.495857,19.0806
Budapest - Szent László tér 29.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1102;Budapest;Szent László tér 29.      ;13521;47.486832,19.130947
Budapest - Szentimrey utca        ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1104;Budapest;Szentimrey utca        ;13522;47.477506,19.162755
Budapest - Gyakorló köz 7.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1106;Budapest;Gyakorló köz 7.       ;13523;47.503024,19.141785
Budapest - Menyecske utca 2.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1112;Budapest;Menyecske utca 2.       ;13524;47.461887,19.014903
Budapest - Bártfai utca 52.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1115;Budapest;Bártfai utca 52.       ;13525;47.467335,19.031817
Budapest - Hengermalom út 56.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1117;Budapest;Hengermalom út 56.       ;13526;47.461117,19.05343
Budapest - Etele út 32c       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1119;Budapest;Etele út 32c       ;13527;47.463142,19.033765
Budapest - Fegyvernek utca (Mezőkövesd út 4.)     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1119;Budapest;Fegyvernek utca (Mezőkövesd út 4.)     ;13528;47.44096,19.037725
Budapest - Gaál József út 12a      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1122;Budapest;Gaál József út 12a      ;13529;47.506458,19.011792
Budapest - Jagelló út 20b       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1123;Budapest;Jagelló út 20b       ;13530;47.48836,19.020568
Budapest - Rácz Aladár út 2. (Márton Áron tér)  ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1124;Budapest;Rácz Aladár út 2. (Márton Áron tér)  ;13531;47.481953,18.998305
Budapest - Csizma utca 2.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1139;Budapest;Csizma utca 2.       ;13532;47.534292,19.080798
Budapest - Béke tér 1c       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1139;Budapest;Béke tér 1c       ;13533;47.530877,19.081202
Budapest - Gvadányi utca 87.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1144;Budapest;Gvadányi utca 87.       ;13534;47.51682,19.14356
Budapest - Pétervárad utca 7.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1145;Budapest;Pétervárad utca 7.       ;13535;47.518437,19.108828
Budapest - Stefánia út 75.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1146;Budapest;Stefánia út 75.       ;13536;47.50715,19.0969
Budapest - Szilas park 2.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1152;Budapest;Szilas park 2.       ;13537;47.54997,19.139537
Budapest - Széchenyi tér 13.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1153;Budapest;Széchenyi tér 13.       ;13538;47.562388,19.119977
Budapest - Sashalmi tér 150.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1163;Budapest;Sashalmi tér 150.       ;13539;47.509852,19.171955
Budapest - Jókai Mór utca 2.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1165;Budapest;Jókai Mór utca 2.      ;13540;47.510518,19.190688
Budapest - Uszoda utca 2.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1173;Budapest;Uszoda utca 2.       ;13541;47.478665,19.234088
Budapest - Pesti út 168a       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1173;Budapest;Pesti út 168a       ;13542;47.480288,19.254495
Budapest - Nagyenyed utca 2.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1182;Budapest;Nagyenyed utca 2.       ;13543;47.432632,19.2069
Budapest - Thököly út 3.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1183;Budapest;Thököly út 3.       ;13544;47.443633,19.181155
Budapest - Nemes utca 16.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1188;Budapest;Nemes utca 16.       ;13545;47.405153,19.18809
Budapest - Hofherr Albert utca 42.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1194;Budapest;Hofherr Albert utca 42.      ;13546;47.437217,19.14543
Budapest - Árpád utca 7.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1195;Budapest;Árpád utca 7.       ;13547;47.453364,19.149468
Budapest - Vörösmarty út        ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1201;Budapest;Vörösmarty út        ;13548;47.435927,19.102978
Budapest - Bíró Mihály utca 18.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1203;Budapest;Bíró Mihály utca 18.      ;13549;47.43922,19.1026
Budapest - Kossuth Lajos utca 105.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1211;Budapest;Kossuth Lajos utca 105.      ;13550;47.423795,19.06866
Budapest - II. Rákóczi Ferenc utca 69.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1211;Budapest;II. Rákóczi Ferenc utca 69.     ;13551;47.43318,19.067878
Budapest - Kossuth Lajos utca 103.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1212;Budapest;Kossuth Lajos utca 103.      ;13552;47.423558,19.069747
Budapest - Anna utca (Leányka utca)      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1221;Budapest;Anna utca (Leányka utca)      ;13553;47.43249,19.036767
Budapest - Városház tér 11.       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;1221;Budapest;Városház tér 11.       ;13554;47.426338,19.040955
Érd - Petőfi Sándor utca 76.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;2030;Érd;Petőfi Sándor utca 76.     ;13555;47.383345,18.905327
Érd - Erkel Ferenc utca 3.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;2030;Érd;Erkel Ferenc utca 3.     ;13556;47.382772,18.921543
Piliscsaba - Templom tér 2.      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;2081;Piliscsaba;Templom tér 2.      ;13557;47.632045,18.825473
Pilisvörösvár - Budai út       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;2085;Pilisvörösvár;Budai út       ;13558;47.615787,18.920168
Martonvásár - Kodály Zoltán utca 2.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;2462;Martonvásár;Kodály Zoltán utca 2.     ;13559;47.314875,18.786335
Székesfehérvár - Király sor       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;8000;Székesfehérvár;Király sor       ;13560;47.196372,18.419948
Székesfehérvár - Mátyás Király körút      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;8000;Székesfehérvár;Mátyás Király körút      ;13561;47.19008,18.4069
Tatabánya - Turul utca       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;2800;Tatabánya;Turul utca       ;13562;47.578822,18.392892
Salgótarján - Kassai sor       ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;3100;Salgótarján;Kassai sor       ;13563;48.105935,19.806593
Gyöngyös - Kármán József utca      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;3200;Gyöngyös;Kármán József utca      ;13564;47.783053,19.93077
Miskolc - Palóczy László utca 7.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;3500;Miskolc;Palóczy László utca 7.     ;13565;48.105408,20.780647
Miskolc - Dayka Gábor utca 2.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;3500;Miskolc;Dayka Gábor utca 2.     ;13566;48.10432,20.775645
Nyíregyháza - Dob utca      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;4400;Nyíregyháza;Dob utca      ;13567;47.960873,21.712573
Ajak - Hajnal utca      ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;4524;Ajak;Hajnal utca      ;13568;48.177991,22.061686
Szolnok - Városmajor út 57.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;5000;Szolnok;Városmajor út 57.     ;13569;47.1811,20.206453
Kecskemét - Deák Ferenc tér 3.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;6000;Kecskemét;Deák Ferenc tér 3.     ;13570;46.906547,19.688987
Szeged - Kossuth Lajos sugárút 47.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;6724;Szeged;Kossuth Lajos sugárút 47.     ;13571;46.260008,20.140325
Szeged - Petőfi Sándor sugárút 74.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;6725;Szeged;Petőfi Sándor sugárút 74.     ;13572;46.244577,20.133648
Pécs - Berze Nagy János út     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;7623;Pécs;Berze Nagy János út     ;13573;46.06461,18.20226
Veszprém - Óváros tér 20.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;8200;Veszprém;Óváros tér 20.     ;13574;47.094625,17.906972
Nagykanizsa - Gábor Áron utca 6. ( Ipari park bejárat);;;;;22 kW;1;22 kW;1;2;120Ft/kWh;8800;Nagykanizsa;Gábor Áron utca 6. ( Ipari park bejárat);13575;46.466853,17.000233
Zalaegerszeg - ZalaZone fogadó épület      ;;;;;;;22 kW;1;2;Ingyenes;8900;Zalaegerszeg;ZalaZone fogadó épület      ;13576;46.889543,16.837247
Zalaegerszeg - ZalaZone szervíz épület       ;;;;;;;22 kW;1;2;Ingyenes;8900;Zalaegerszeg;ZalaZone szervíz épület       ;13577;46.891908,16.831947
Zalaegerszeg - Kosztolányi Dezső tér 27.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;8900;Zalaegerszeg;Kosztolányi Dezső tér 27.     ;13578;46.841908,16.849458
Zalaegerszeg - Budai Nagy Antal út     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;8900;Zalaegerszeg;Budai Nagy Antal út     ;13579;46.8474,16.845357
Sopron - Kuruc krt. (Szív utca)     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;9400;Sopron;Kuruc krt. (Szív utca)     ;13580;47.677903,16.60242
Szombathely - Hollán Ernő utca 3.     ;;;;;22 kW;1;22 kW;1;2;120Ft/kWh;9700;Szombathely;Hollán Ernő utca 3.     ;13581;47.230273,16.618052
Budapest - Mechwart tér;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;1024;Budapest;Mechwart tér ;23001;47.511544,19.031466
Sopron - Révai Miklós út;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;9400;Sopron;Révai Miklós út ;23002;47.694058,16.578055
Tamási - Szabadság utca;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;7090;Tamási;Szabadság utca ;23003;46.636416,18.281638
Budapest M3 Szilas pihenő;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;1152;Budapest;Szilas pihenő M3 ;23004;47.566198,19.147583
Székesfehérvár - Huszár utca;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;8000;Székesfehérvár;Huszár utca ;23005;47.190141,18.425153
Keszthely - Skála köz;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;8360;Keszthely;Skála köz ;23006;46.768707,17.247343
Nyíregyháza - Szabadság tér;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;4400;Nyíregyháza;Szabadság tér ;23007;47.957228,21.719411
Dunaújváros - Martinovics Ignác út;DBT;Quick Charger Tri-Standard;22 kW;1;44 kW;1;44 kW;1;2;100Ft/perc;2400;Dunaújváros;Martinovics Ignác út ;23008;46.974436,18.934917
